"rent_place","return_place","rent","return"
"ST-101","ST-1660",1,25
"ST-102","ST-1378",2,149
"ST-102","ST-1660",2,25
"ST-102","ST-972",2,145
"ST-104","ST-368",3,54
"ST-106","ST-362",4,150
"ST-106","ST-506",4,74
"ST-1064","ST-1352",5,22
"ST-1064","ST-1718",5,151
"ST-1065","ST-1251",6,17
"ST-107","ST-1199",7,152
"ST-1070","ST-1730",8,153
"ST-108","ST-1199",9,152
"ST-1087","ST-1719",10,154
"ST-1087","ST-1720",10,155
"ST-112","ST-368",11,54
"ST-1166","ST-1361",12,156
"ST-1186","ST-1364",13,157
"ST-1186","ST-1407",13,158
"ST-1194","ST-1263",14,159
"ST-1223","ST-1275",15,160
"ST-1249","ST-1251",16,17
"ST-1249","ST-1351",16,161
"ST-1249","ST-1510",16,162
"ST-1251","ST-1351",17,161
"ST-1251","ST-1714",17,31
"ST-1253","ST-1718",18,151
"ST-1298","ST-1300",19,163
"ST-1305","ST-1404",20,164
"ST-1317","ST-1636",21,165
"ST-1352","ST-1718",22,151
"ST-14","ST-18",23,34
"ST-160","ST-173",24,33
"ST-1660","ST-1663",25,166
"ST-1688","ST-1718",26,151
"ST-1689","ST-1718",27,151
"ST-17","ST-231",28,167
"ST-17","ST-346",28,168
"ST-1710","ST-1718",29,151
"ST-1712","ST-1718",30,151
"ST-1714","ST-1718",31,151
"ST-172","ST-173",32,33
"ST-173","ST-174",33,169
"ST-18","ST-1190",34,170
"ST-18","ST-1643",34,171
"ST-18","ST-210",34,172
"ST-18","ST-212",34,173
"ST-18","ST-223",34,174
"ST-18","ST-341",34,175
"ST-18","ST-555",34,176
"ST-208","ST-209",35,36
"ST-209","ST-211",36,177
"ST-253","ST-1194",37,14
"ST-254","ST-377",38,178
"ST-255","ST-377",39,178
"ST-26","ST-28",40,179
"ST-262","ST-1298",41,19
"ST-262","ST-1300",41,163
"ST-262","ST-395",41,180
"ST-27","ST-28",42,179
"ST-273","ST-827",43,130
"ST-280","ST-413",44,181
"ST-281","ST-413",45,181
"ST-287","ST-295",46,49
"ST-290","ST-1223",47,15
"ST-293","ST-295",48,49
"ST-295","ST-1653",49,182
"ST-295","ST-1698",49,183
"ST-295","ST-1701",49,184
"ST-311","ST-315",50,185
"ST-311","ST-428",50,186
"ST-312","ST-428",51,186
"ST-363","ST-1263",52,159
"ST-364","ST-368",53,54
"ST-368","ST-371",54,187
"ST-382","ST-1194",55,14
"ST-391","ST-405",56,188
"ST-391","ST-406",56,189
"ST-4","ST-18",57,34
"ST-4","ST-209",57,36
"ST-4","ST-9",57,138
"ST-404","ST-1317",58,21
"ST-417","ST-664",59,190
"ST-442","ST-750",60,118
"ST-446","ST-506",61,74
"ST-454","ST-455",62,63
"ST-455","ST-459",63,191
"ST-455","ST-461",63,192
"ST-455","ST-462",63,193
"ST-47","ST-56",64,80
"ST-47","ST-57",64,194
"ST-47","ST-73",64,109
"ST-483","ST-1660",65,25
"ST-485","ST-492",66,68
"ST-486","ST-493",67,195
"ST-492","ST-493",68,195
"ST-494","ST-1420",69,196
"ST-495","ST-1420",70,196
"ST-495","ST-502",70,73
"ST-495","ST-503",70,197
"ST-497","ST-502",71,73
"ST-497","ST-503",71,197
"ST-5","ST-211",72,177
"ST-502","ST-1046",73,198
"ST-502","ST-1420",73,196
"ST-506","ST-1690",74,199
"ST-513","ST-514",75,200
"ST-513","ST-975",75,201
"ST-516","ST-1249",76,16
"ST-52","ST-57",77,194
"ST-542","ST-1409",78,202
"ST-542","ST-894",78,203
"ST-547","ST-1088",79,204
"ST-547","ST-1584",79,205
"ST-547","ST-1705",79,206
"ST-547","ST-548",79,207
"ST-547","ST-840",79,208
"ST-547","ST-891",79,137
"ST-56","ST-73",80,109
"ST-597","ST-1317",81,21
"ST-6","ST-18",82,34
"ST-604","ST-605",83,84
"ST-604","ST-735",83,111
"ST-605","ST-735",84,111
"ST-607","ST-735",85,111
"ST-613","ST-1137",86,209
"ST-63","ST-307",87,210
"ST-64","ST-73",88,109
"ST-643","ST-1104",89,211
"ST-643","ST-1389",89,212
"ST-643","ST-1726",89,213
"ST-655","ST-1636",90,165
"ST-658","ST-1137",91,209
"ST-66","ST-307",92,210
"ST-663","ST-664",93,190
"ST-668","ST-1224",94,214
"ST-668","ST-1521",94,215
"ST-668","ST-702",94,101
"ST-67","ST-73",95,109
"ST-68","ST-307",96,210
"ST-68","ST-70",96,216
"ST-68","ST-71",96,217
