"rent_place","return_place","rent","return"
"ST-68","ST-73",96,109
"ST-683","ST-877",97,218
"ST-687","ST-699",98,100
"ST-687","ST-728",98,219
"ST-692","ST-750",99,118
"ST-699","ST-1356",100,220
"ST-702","ST-1546",101,221
"ST-702","ST-1678",101,222
"ST-702","ST-713",101,106
"ST-702","ST-724",101,108
"ST-702","ST-951",101,143
"ST-703","ST-1546",102,221
"ST-704","ST-1546",103,221
"ST-705","ST-1546",104,221
"ST-708","ST-1678",105,222
"ST-713","ST-1678",106,222
"ST-72","ST-307",107,210
"ST-724","ST-1678",108,222
"ST-73","ST-296",109,223
"ST-73","ST-297",109,224
"ST-73","ST-426",109,225
"ST-73","ST-683",109,97
"ST-73","ST-692",109,99
"ST-73","ST-750",109,118
"ST-732","ST-923",110,141
"ST-735","ST-1123",111,226
"ST-739","ST-891",112,137
"ST-742","ST-1552",113,227
"ST-742","ST-743",113,228
"ST-742","ST-744",113,229
"ST-746","ST-927",114,230
"ST-747","ST-1316",115,231
"ST-748","ST-750",116,118
"ST-749","ST-750",117,118
"ST-749","ST-776",117,128
"ST-749","ST-780",117,232
"ST-750","ST-1316",118,231
"ST-750","ST-751",118,119
"ST-750","ST-776",118,128
"ST-750","ST-777",118,233
"ST-750","ST-780",118,232
"ST-750","ST-927",118,230
"ST-750","ST-935",118,142
"ST-750","ST-949",118,234
"ST-751","ST-760",119,123
"ST-751","ST-935",119,142
"ST-753","ST-1739",120,235
"ST-753","ST-758",120,122
"ST-753","ST-760",120,123
"ST-753","ST-923",120,141
"ST-753","ST-949",120,234
"ST-757","ST-949",121,234
"ST-758","ST-760",122,123
"ST-758","ST-935",122,142
"ST-760","ST-949",123,234
"ST-761","ST-1305",124,20
"ST-761","ST-762",124,236
"ST-767","ST-879",125,237
"ST-767","ST-890",125,238
"ST-771","ST-772",126,127
"ST-772","ST-1361",127,156
"ST-772","ST-781",127,239
"ST-772","ST-879",127,237
"ST-772","ST-890",127,238
"ST-772","ST-929",127,240
"ST-776","ST-777",128,233
"ST-776","ST-780",128,232
"ST-8","ST-11",129,241
"ST-8","ST-209",129,36
"ST-827","ST-1317",130,21
"ST-827","ST-1455",130,242
"ST-827","ST-1631",130,243
"ST-838","ST-839",131,132
"ST-839","ST-891",132,137
"ST-86","ST-95",133,244
"ST-882","ST-1268",134,245
"ST-882","ST-976",134,246
"ST-886","ST-1547",135,247
"ST-89","ST-455",136,63
"ST-891","ST-1070",137,8
"ST-891","ST-1081",137,248
"ST-891","ST-1087",137,10
"ST-891","ST-1582",137,249
"ST-891","ST-1586",137,250
"ST-891","ST-1590",137,251
"ST-891","ST-1683",137,252
"ST-891","ST-1729",137,253
"ST-891","ST-1730",137,153
"ST-9","ST-18",138,34
"ST-91","ST-95",139,244
"ST-914","ST-1121",140,254
"ST-914","ST-1284",140,255
"ST-914","ST-1473",140,256
"ST-923","ST-1152",141,257
"ST-935","ST-949",142,234
"ST-951","ST-1547",143,247
"ST-97","ST-1429",144,258
"ST-97","ST-384",144,259
"ST-97","ST-974",144,146
"ST-972","ST-1429",145,258
"ST-972","ST-973",145,260
"ST-972","ST-974",145,146
"ST-972","ST-984",145,261
"ST-974","ST-1660",146,25
"ST-987","ST-1660",147,25
"ST-99","ST-101",148,1
"ST-99","ST-1199",148,152
"ST-99","ST-1660",148,25
"ST-99","ST-1661",148,262
"ST-99","ST-241",148,263
"ST-99","ST-258",148,264
"ST-99","ST-446",148,61
"ST-99","ST-483",148,65
"ST-99","ST-972",148,145
"ST-99","ST-980",148,265
