"row","col"
2,0
33,0
92,0
245,0
246,0
247,0
249,0
2,1
3,1
0,2
1,2
3,2
33,2
92,2
245,2
246,2
249,2
1,3
2,3
241,3
242,3
243,3
244,3
255,3
15,4
73,4
74,4
6,5
5,6
84,6
105,6
8,7
30,7
7,8
26,8
30,8
34,8
35,8
38,8
39,8
40,8
21,9
24,9
25,9
12,10
248,10
221,11
229,11
10,12
248,12
14,13
223,13
13,14
223,14
4,15
73,15
74,15
202,16
18,17
17,18
52,19
72,19
75,19
64,20
9,21
22,21
23,21
24,21
25,21
108,21
21,22
23,22
24,22
108,22
21,23
22,23
108,23
9,24
21,24
22,24
25,24
9,25
21,25
24,25
40,25
8,26
30,26
34,26
35,26
38,26
39,26
40,26
56,27
57,27
197,28
81,29
119,29
131,29
211,29
7,30
8,30
26,30
34,30
35,30
38,30
39,30
40,30
43,31
44,31
45,31
46,31
47,31
48,31
49,31
78,31
120,31
230,31
41,32
42,32
0,33
2,33
92,33
245,33
246,33
249,33
8,34
26,34
30,34
35,34
38,34
39,34
40,34
8,35
26,35
30,35
34,35
38,35
39,35
40,35
37,36
36,37
8,38
26,38
30,38
34,38
35,38
39,38
40,38
8,39
26,39
30,39
34,39
35,39
38,39
40,39
8,40
25,40
26,40
30,40
34,40
35,40
38,40
39,40
32,41
42,41
32,42
41,42
31,43
44,43
45,43
46,43
47,43
48,43
49,43
78,43
120,43
230,43
31,44
43,44
45,44
46,44
47,44
48,44
49,44
78,44
120,44
230,44
31,45
43,45
44,45
46,45
47,45
48,45
49,45
78,45
120,45
230,45
31,46
43,46
44,46
45,46
47,46
48,46
49,46
78,46
120,46
230,46
31,47
43,47
44,47
45,47
46,47
48,47
49,47
78,47
120,47
230,47
31,48
43,48
44,48
45,48
46,48
47,48
49,48
78,48
120,48
230,48
31,49
43,49
44,49
45,49
46,49
47,49
48,49
78,49
120,49
230,49
51,50
79,50
210,50
50,51
79,51
102,51
210,51
19,52
75,52
54,53
53,54
59,55
27,56
57,56
58,56
27,57
56,57
58,57
56,58
57,58
55,59
211,60
212,60
213,60
62,61
61,62
65,63
66,63
67,63
68,63
20,64
63,65
66,65
67,65
68,65
63,66
65,66
67,66
68,66
63,67
65,67
66,67
68,67
63,68
65,68
66,68
67,68
70,69
69,70
71,70
70,71
19,72
4,73
15,73
74,73
4,74
15,74
73,74
19,75
52,75
77,76
76,77
31,78
43,78
44,78
45,78
46,78
47,78
48,78
49,78
79,78
80,78
120,78
230,78
50,79
51,79
78,79
80,79
210,79
78,80
79,80
230,80
29,81
119,81
211,81
134,82
146,83
165,83
174,83
175,83
178,83
179,83
180,83
181,83
182,83
183,83
184,83
185,83
6,84
105,84
253,84
86,85
87,85
88,85
220,85
85,86
87,86
88,86
220,86
85,87
86,87
88,87
220,87
85,88
86,88
87,88
220,88
90,89
91,89
118,89
89,90
91,90
109,90
89,91
90,91
118,91
127,91
138,91
142,91
160,91
161,91
162,91
163,91
164,91
165,91
0,92
2,92
33,92
245,92
246,92
249,92
254,92
95,93
95,94
93,95
94,95
97,96
104,96
96,97
98,97
99,97
104,97
97,98
99,98
100,98
103,98
104,98
97,99
98,99
101,99
98,100
101,100
103,100
104,100
99,101
100,101
51,102
98,103
100,103
104,103
96,104
97,104
98,104
100,104
103,104
6,105
84,105
107,106
106,107
21,108
22,108
23,108
90,109
111,110
110,111
113,112
114,112
115,112
116,112
117,112
112,113
114,113
115,113
116,113
117,113
112,114
113,114
115,114
116,114
117,114
112,115
113,115
114,115
116,115
117,115
112,116
113,116
114,116
115,116
117,116
112,117
113,117
114,117
115,117
116,117
168,117
215,117
221,117
222,117
223,117
224,117
225,117
226,117
227,117
228,117
229,117
89,118
91,118
127,118
138,118
142,118
160,118
161,118
162,118
163,118
164,118
165,118
29,119
81,119
211,119
31,120
43,120
44,120
45,120
46,120
47,120
48,120
49,120
78,120
230,120
122,121
123,121
121,122
123,122
124,122
167,122
121,123
122,123
124,123
167,123
122,124
123,124
167,124
132,125
133,126
139,126
158,126
91,127
118,127
138,127
142,127
160,127
161,127
162,127
163,127
164,127
165,127
129,128
130,128
128,129
130,129
128,130
129,130
29,131
125,132
126,133
139,133
158,133
82,134
136,135
137,135
135,136
137,136
135,137
136,137
148,137
149,137
150,137
151,137
152,137
91,138
118,138
127,138
142,138
160,138
161,138
162,138
163,138
164,138
165,138
126,139
133,139
140,139
141,139
142,139
158,139
139,140
141,140
142,140
139,141
140,141
142,141
91,142
118,142
127,142
138,142
139,142
140,142
141,142
160,142
161,142
162,142
163,142
164,142
165,142
163,143
145,144
147,144
144,145
83,146
164,146
165,146
174,146
175,146
178,146
179,146
180,146
181,146
182,146
183,146
184,146
185,146
144,147
137,148
149,148
150,148
151,148
152,148
153,148
154,148
155,148
137,149
148,149
150,149
151,149
152,149
156,149
157,149
159,149
137,150
148,150
149,150
151,150
152,150
157,150
137,151
148,151
149,151
150,151
152,151
159,151
137,152
148,152
149,152
150,152
151,152
237,152
148,153
154,153
155,153
148,154
153,154
155,154
148,155
153,155
154,155
149,156
157,156
159,156
149,157
150,157
156,157
159,157
126,158
133,158
139,158
149,159
151,159
156,159
157,159
91,160
118,160
127,160
138,160
142,160
161,160
162,160
163,160
164,160
165,160
91,161
118,161
127,161
138,161
142,161
160,161
162,161
163,161
164,161
165,161
91,162
118,162
127,162
138,162
142,162
160,162
161,162
163,162
164,162
165,162
91,163
118,163
127,163
138,163
142,163
143,163
160,163
161,163
162,163
164,163
165,163
91,164
118,164
127,164
138,164
142,164
146,164
160,164
161,164
162,164
163,164
165,164
83,165
91,165
118,165
127,165
138,165
142,165
146,165
160,165
161,165
162,165
163,165
164,165
174,165
175,165
178,165
179,165
180,165
181,165
182,165
183,165
184,165
185,165
191,166
235,166
122,167
123,167
124,167
117,168
215,168
221,168
222,168
223,168
224,168
225,168
226,168
227,168
228,168
229,168
170,169
171,169
169,170
171,170
169,171
170,171
183,172
178,173
83,174
146,174
165,174
175,174
178,174
179,174
180,174
181,174
182,174
183,174
184,174
185,174
83,175
146,175
165,175
174,175
176,175
177,175
178,175
179,175
180,175
181,175
182,175
183,175
184,175
185,175
175,176
177,176
180,176
207,176
208,176
175,177
176,177
182,177
208,177
83,178
146,178
165,178
173,178
174,178
175,178
179,178
180,178
181,178
182,178
183,178
184,178
185,178
83,179
146,179
165,179
174,179
175,179
178,179
180,179
181,179
182,179
183,179
184,179
185,179
186,179
187,179
83,180
146,180
165,180
174,180
175,180
176,180
178,180
179,180
181,180
182,180
183,180
184,180
185,180
207,180
208,180
83,181
146,181
165,181
174,181
175,181
178,181
179,181
180,181
182,181
183,181
184,181
185,181
207,181
83,182
146,182
165,182
174,182
175,182
177,182
178,182
179,182
180,182
181,182
183,182
184,182
185,182
208,182
83,183
146,183
165,183
172,183
174,183
175,183
178,183
179,183
180,183
181,183
182,183
184,183
185,183
83,184
146,184
165,184
174,184
175,184
178,184
179,184
180,184
181,184
182,184
183,184
185,184
187,184
195,184
236,184
83,185
146,185
165,185
174,185
175,185
178,185
179,185
180,185
181,185
182,185
183,185
184,185
192,185
193,185
196,185
236,185
179,186
187,186
190,186
194,186
196,186
179,187
184,187
186,187
195,187
236,187
189,188
190,188
191,188
192,188
188,189
190,189
191,189
192,189
194,189
195,189
186,190
188,190
189,190
191,190
192,190
194,190
196,190
166,191
188,191
189,191
190,191
192,191
235,191
185,192
188,192
189,192
190,192
191,192
193,192
196,192
236,192
185,193
192,193
196,193
236,193
186,194
189,194
190,194
195,194
196,194
184,195
187,195
189,195
194,195
236,195
185,196
186,196
190,196
192,196
193,196
194,196
236,196
28,197
198,197
197,198
200,199
204,199
199,200
205,200
202,201
203,201
204,201
205,201
206,201
16,202
201,202
203,202
204,202
205,202
206,202
201,203
202,203
204,203
205,203
206,203
199,204
201,204
202,204
203,204
205,204
206,204
200,205
201,205
202,205
203,205
204,205
206,205
201,206
202,206
203,206
204,206
205,206
176,207
180,207
181,207
208,207
176,208
177,208
180,208
182,208
207,208
210,209
50,210
51,210
79,210
209,210
29,211
60,211
81,211
119,211
212,211
213,211
60,212
211,212
213,212
60,213
211,213
212,213
215,214
117,215
168,215
214,215
221,215
222,215
223,215
224,215
225,215
226,215
227,215
228,215
229,215
231,216
218,217
217,218
237,219
85,220
86,220
87,220
88,220
11,221
117,221
168,221
215,221
222,221
223,221
224,221
225,221
226,221
227,221
228,221
229,221
117,222
168,222
215,222
221,222
223,222
224,222
225,222
226,222
227,222
228,222
229,222
13,223
14,223
117,223
168,223
215,223
221,223
222,223
224,223
225,223
226,223
227,223
228,223
229,223
117,224
168,224
215,224
221,224
222,224
223,224
225,224
226,224
227,224
228,224
229,224
117,225
168,225
215,225
221,225
222,225
223,225
224,225
226,225
227,225
228,225
229,225
117,226
168,226
215,226
221,226
222,226
223,226
224,226
225,226
227,226
228,226
229,226
117,227
168,227
215,227
221,227
222,227
223,227
224,227
225,227
226,227
228,227
229,227
117,228
168,228
215,228
221,228
222,228
223,228
224,228
225,228
226,228
227,228
229,228
11,229
117,229
168,229
215,229
221,229
222,229
223,229
224,229
225,229
226,229
227,229
228,229
31,230
43,230
44,230
45,230
46,230
47,230
48,230
49,230
78,230
80,230
120,230
216,231
233,232
234,232
232,233
234,233
232,234
233,234
166,235
191,235
184,236
185,236
187,236
192,236
193,236
195,236
196,236
152,237
219,237
239,238
240,238
241,238
238,239
240,239
238,240
239,240
243,240
245,240
3,241
238,241
242,241
243,241
244,241
255,241
3,242
241,242
243,242
244,242
255,242
3,243
240,243
241,243
242,243
244,243
245,243
255,243
3,244
241,244
242,244
243,244
255,244
0,245
2,245
33,245
92,245
240,245
243,245
246,245
249,245
0,246
2,246
33,246
92,246
245,246
249,246
0,247
248,247
249,247
250,247
251,247
252,247
253,247
254,247
255,247
256,247
10,248
12,248
247,248
249,248
250,248
251,248
252,248
253,248
254,248
255,248
256,248
0,249
2,249
33,249
92,249
245,249
246,249
247,249
248,249
250,249
251,249
252,249
253,249
254,249
255,249
256,249
247,250
248,250
249,250
251,250
252,250
253,250
254,250
255,250
256,250
247,251
248,251
249,251
250,251
252,251
253,251
254,251
255,251
256,251
247,252
248,252
249,252
250,252
251,252
253,252
254,252
255,252
256,252
84,253
247,253
248,253
249,253
250,253
251,253
252,253
254,253
255,253
256,253
92,254
247,254
248,254
249,254
250,254
251,254
252,254
253,254
255,254
256,254
3,255
241,255
242,255
243,255
244,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
256,255
247,256
248,256
249,256
250,256
251,256
252,256
253,256
254,256
255,256
