"rent_place","return_place","rent","return"
"ST-601","ST-1280",573,144
"ST-602","ST-604",574,576
"ST-602","ST-735",574,675
"ST-603","ST-1114",575,60
"ST-603","ST-1123",575,1104
"ST-603","ST-1349",575,181
"ST-603","ST-1395",575,893
"ST-603","ST-1474",575,966
"ST-603","ST-604",575,576
"ST-603","ST-605",575,577
"ST-603","ST-607",575,579
"ST-603","ST-735",575,675
"ST-603","ST-853",575,765
"ST-603","ST-964",575,834
"ST-604","ST-1118",576,61
"ST-604","ST-1123",576,1104
"ST-604","ST-1285",576,148
"ST-604","ST-1474",576,966
"ST-604","ST-605",576,577
"ST-604","ST-606",576,578
"ST-604","ST-607",576,579
"ST-604","ST-735",576,675
"ST-605","ST-1118",577,61
"ST-605","ST-1123",577,1104
"ST-605","ST-1285",577,148
"ST-605","ST-1290",577,151
"ST-605","ST-1425",577,1105
"ST-605","ST-1474",577,966
"ST-605","ST-610",577,582
"ST-605","ST-735",577,675
"ST-605","ST-736",577,676
"ST-605","ST-866",577,1106
"ST-606","ST-1285",578,148
"ST-606","ST-1290",578,151
"ST-606","ST-1291",578,898
"ST-606","ST-607",578,579
"ST-606","ST-610",578,582
"ST-607","ST-1118",579,61
"ST-607","ST-1123",579,1104
"ST-607","ST-1124",579,64
"ST-607","ST-1285",579,148
"ST-607","ST-1290",579,151
"ST-607","ST-610",579,582
"ST-607","ST-735",579,675
"ST-607","ST-736",579,676
"ST-607","ST-914",579,806
"ST-608","ST-1121",580,63
"ST-608","ST-1122",580,1107
"ST-608","ST-611",580,583
"ST-608","ST-914",580,806
"ST-61","ST-73",581,671
"ST-610","ST-1118",582,61
"ST-610","ST-1121",582,63
"ST-610","ST-1124",582,64
"ST-610","ST-1285",582,148
"ST-610","ST-1290",582,151
"ST-610","ST-1291",582,898
"ST-610","ST-1470",582,945
"ST-610","ST-1639",582,251
"ST-610","ST-1641",582,988
"ST-610","ST-611",582,583
"ST-610","ST-617",582,588
"ST-611","ST-1118",583,61
"ST-611","ST-1124",583,64
"ST-611","ST-1283",583,146
"ST-611","ST-1284",583,147
"ST-611","ST-1285",583,148
"ST-611","ST-1287",583,894
"ST-611","ST-1290",583,151
"ST-611","ST-1291",583,898
"ST-611","ST-1425",583,1105
"ST-611","ST-1473",583,946
"ST-611","ST-1642",583,253
"ST-611","ST-736",583,676
"ST-611","ST-867",583,770
"ST-611","ST-914",583,806
"ST-613","ST-1137",584,71
"ST-614","ST-1136",585,70
"ST-614","ST-1465",585,949
"ST-614","ST-658",585,616
"ST-615","ST-1137",586,71
"ST-615","ST-1466",586,901
"ST-615","ST-616",586,587
"ST-615","ST-643",586,608
"ST-616","ST-1137",587,71
"ST-616","ST-1293",587,152
"ST-616","ST-1296",587,899
"ST-616","ST-1465",587,949
"ST-616","ST-1466",587,901
"ST-616","ST-643",587,608
"ST-616","ST-658",587,616
"ST-616","ST-916",587,808
"ST-617","ST-1279",588,897
"ST-617","ST-1291",588,898
"ST-617","ST-1292",588,1108
"ST-617","ST-1470",588,945
"ST-619","ST-1403",589,930
"ST-619","ST-620",589,591
"ST-619","ST-622",589,593
"ST-619","ST-632",589,599
"ST-619","ST-640",589,606
"ST-62","ST-307",590,1075
"ST-62","ST-68",590,631
"ST-620","ST-1403",591,930
"ST-621","ST-1403",592,930
"ST-622","ST-1403",593,930
"ST-623","ST-1403",594,930
"ST-625","ST-1140",595,73
"ST-625","ST-637",595,603
"ST-63","ST-307",597,1075
"ST-63","ST-65",597,612
"ST-630","ST-642",598,607
"ST-632","ST-640",599,606
"ST-632","ST-660",599,618
"ST-634","ST-660",600,618
"ST-635","ST-936",601,823
"ST-636","ST-639",602,604
"ST-637","ST-1140",603,73
"ST-637","ST-1142",603,74
"ST-637","ST-1149",603,903
"ST-637","ST-639",603,604
"ST-639","ST-1140",604,73
"ST-639","ST-1141",604,1110
"ST-639","ST-1147",604,77
"ST-639","ST-1149",604,903
"ST-64","ST-73",605,671
"ST-64","ST-750",605,689
"ST-640","ST-1403",606,930
"ST-640","ST-1531",606,1111
"ST-640","ST-660",606,618
"ST-640","ST-919",606,810
"ST-642","ST-1147",607,77
"ST-643","ST-1100",608,1112
"ST-643","ST-1104",608,1113
"ST-643","ST-1105",608,54
"ST-643","ST-1107",608,55
"ST-643","ST-1109",608,57
"ST-643","ST-1129",608,67
"ST-643","ST-1131",608,1114
"ST-643","ST-1388",608,197
"ST-643","ST-1389",608,889
"ST-643","ST-1390",608,890
"ST-643","ST-1469",608,213
"ST-643","ST-1638",608,250
"ST-643","ST-1726",608,892
"ST-643","ST-645",608,609
"ST-643","ST-650",608,613
"ST-643","ST-651",608,1115
"ST-643","ST-652",608,614
"ST-643","ST-654",608,1116
"ST-643","ST-859",608,1117
"ST-643","ST-862",608,1118
"ST-643","ST-948",608,826
"ST-645","ST-1109",609,57
"ST-646","ST-1107",610,55
"ST-646","ST-1110",610,1119
"ST-646","ST-1469",610,213
"ST-646","ST-1638",610,250
"ST-646","ST-859",610,1117
"ST-648","ST-1105",611,54
"ST-648","ST-1665",611,1120
"ST-65","ST-73",612,671
"ST-650","ST-1109",613,57
"ST-650","ST-1389",613,889
"ST-652","ST-1109",614,57
"ST-655","ST-1317",615,164
"ST-655","ST-1625",615,951
"ST-655","ST-1636",615,957
"ST-655","ST-827",615,749
"ST-655","ST-910",615,804
"ST-658","ST-1137",616,71
"ST-658","ST-1465",616,949
"ST-66","ST-307",617,1075
"ST-66","ST-68",617,631
"ST-66","ST-72",617,662
"ST-66","ST-73",617,671
"ST-660","ST-1531",618,1111
"ST-662","ST-663",619,620
"ST-662","ST-664",619,621
"ST-663","ST-664",620,621
"ST-664","ST-1000",621,1039
"ST-664","ST-1218",621,114
"ST-664","ST-1219",621,115
"ST-664","ST-1222",621,118
"ST-664","ST-1236",621,1121
"ST-664","ST-1275",621,141
"ST-664","ST-1319",621,165
"ST-664","ST-1523",621,934
"ST-664","ST-1546",621,230
"ST-664","ST-1650",621,256
"ST-664","ST-1678",621,932
"ST-664","ST-1699",621,960
"ST-664","ST-1733",621,1122
"ST-664","ST-666",621,623
"ST-664","ST-668",621,624
"ST-664","ST-702",621,647
"ST-664","ST-713",621,658
"ST-664","ST-873",621,1123
"ST-664","ST-919",621,810
"ST-665","ST-1403",622,930
"ST-665","ST-666",622,623
"ST-666","ST-1219",623,115
"ST-666","ST-873",623,1123
"ST-666","ST-919",623,810
"ST-668","ST-1223",624,119
"ST-668","ST-1224",624,1124
"ST-668","ST-1268",624,137
"ST-668","ST-1275",624,141
"ST-668","ST-1357",624,186
"ST-668","ST-1521",624,225
"ST-668","ST-1542",624,228
"ST-668","ST-1546",624,230
"ST-668","ST-1678",624,932
"ST-668","ST-674",624,628
"ST-668","ST-702",624,647
"ST-668","ST-713",624,658
"ST-668","ST-724",624,665
"ST-668","ST-882",624,781
"ST-668","ST-883",624,782
"ST-668","ST-936",624,823
"ST-669","ST-1237",625,122
"ST-669","ST-1521",625,225
"ST-67","ST-70",626,645
"ST-67","ST-71",626,654
"ST-67","ST-73",626,671
"ST-67","ST-750",626,689
"ST-673","ST-1223",627,119
"ST-673","ST-1275",627,141
"ST-674","ST-936",628,823
"ST-675","ST-1219",629,115
"ST-675","ST-1228",629,1125
"ST-678","ST-1526",630,1126
"ST-678","ST-919",630,810
"ST-678","ST-920",630,1127
"ST-68","ST-307",631,1075
"ST-68","ST-69",631,636
"ST-68","ST-70",631,645
"ST-68","ST-71",631,654
"ST-68","ST-72",631,662
"ST-68","ST-73",631,671
"ST-683","ST-1150",632,78
"ST-683","ST-1326",632,171
"ST-683","ST-1545",632,967
"ST-683","ST-687",632,634
"ST-683","ST-692",632,639
"ST-683","ST-699",632,643
"ST-683","ST-700",632,646
"ST-683","ST-750",632,689
"ST-683","ST-776",632,714
"ST-683","ST-877",632,778
"ST-685","ST-1150",633,78
"ST-685","ST-1354",633,184
"ST-685","ST-1356",633,185
"ST-685","ST-687",633,634
"ST-685","ST-699",633,643
"ST-687","ST-1150",634,78
"ST-687","ST-1545",634,967
"ST-687","ST-1667",634,1128
"ST-687","ST-691",634,638
"ST-687","ST-699",634,643
"ST-687","ST-728",634,669
"ST-688","ST-1151",635,79
"ST-688","ST-1268",635,137
"ST-688","ST-1543",635,229
"ST-688","ST-733",635,674
"ST-69","ST-307",636,1075
"ST-69","ST-71",636,654
"ST-690","ST-1150",637,78
"ST-690","ST-691",637,638
"ST-690","ST-728",637,669
"ST-691","ST-1667",638,1128
"ST-691","ST-728",638,669
"ST-692","ST-693",639,640
"ST-692","ST-747",639,686
"ST-692","ST-748",639,687
"ST-692","ST-749",639,688
"ST-692","ST-750",639,689
"ST-692","ST-751",639,690
"ST-692","ST-776",639,714
"ST-693","ST-932",640,1129
"ST-694","ST-760",641,699
"ST-694","ST-935",641,822
"ST-695","ST-750",642,689
"ST-699","ST-1150",643,78
"ST-699","ST-1354",643,184
"ST-699","ST-1356",643,185
"ST-699","ST-700",643,646
"ST-699","ST-728",643,669
"ST-699","ST-877",643,778
"ST-7","ST-10",644,1
"ST-7","ST-11",644,50
"ST-7","ST-16",644,245
"ST-7","ST-18",644,279
"ST-7","ST-20",644,287
"ST-70","ST-307",645,1075
"ST-70","ST-73",645,671
"ST-700","ST-1150",646,78
"ST-702","ST-1151",647,79
"ST-702","ST-1223",647,119
"ST-702","ST-1265",647,134
"ST-702","ST-1268",647,137
"ST-702","ST-1357",647,186
"ST-702","ST-1521",647,225
"ST-702","ST-1546",647,230
"ST-702","ST-1549",647,1130
"ST-702","ST-1678",647,932
"ST-702","ST-703",647,648
"ST-702","ST-705",647,650
"ST-702","ST-708",647,652
"ST-702","ST-709",647,653
"ST-702","ST-710",647,655
"ST-702","ST-711",647,656
"ST-702","ST-713",647,658
"ST-702","ST-724",647,665
"ST-702","ST-733",647,674
"ST-702","ST-886",647,784
"ST-702","ST-934",647,821
"ST-702","ST-936",647,823
"ST-702","ST-951",647,829
"ST-702","ST-952",647,830
"ST-703","ST-1268",648,137
"ST-703","ST-1546",648,230
"ST-703","ST-1678",648,932
"ST-704","ST-1546",649,230
"ST-704","ST-705",649,650
"ST-705","ST-1546",650,230
"ST-705","ST-707",650,651
"ST-705","ST-711",650,656
"ST-707","ST-1546",651,230
"ST-708","ST-1268",652,137
"ST-708","ST-1549",652,1130
"ST-708","ST-1678",652,932
"ST-708","ST-713",652,658
"ST-708","ST-951",652,829
"ST-709","ST-1546",653,230
"ST-71","ST-307",654,1075
"ST-710","ST-1546",655,230
"ST-711","ST-1546",656,230
"ST-712","ST-1310",657,162
"ST-712","ST-1739",657,954
"ST-712","ST-760",657,699
"ST-712","ST-923",657,811
"ST-712","ST-935",657,822
"ST-712","ST-949",657,827
"ST-713","ST-1267",658,136
"ST-713","ST-1268",658,137
"ST-713","ST-1546",658,230
"ST-713","ST-1678",658,932
"ST-713","ST-724",658,665
"ST-713","ST-951",658,829
"ST-713","ST-976",658,841
"ST-714","ST-1268",659,137
"ST-714","ST-1337",659,176
"ST-714","ST-715",659,660
"ST-714","ST-882",659,781
"ST-715","ST-1264",660,133
"ST-715","ST-882",660,781
"ST-715","ST-976",660,841
"ST-719","ST-1156",661,1131
"ST-719","ST-721",661,663
"ST-719","ST-884",661,783
"ST-719","ST-887",661,785
"ST-719","ST-965",661,835
"ST-72","ST-307",662,1075
"ST-721","ST-887",663,785
"ST-721","ST-965",663,835
"ST-723","ST-976",664,841
"ST-724","ST-1267",665,136
"ST-724","ST-1678",665,932
"ST-724","ST-951",665,829
"ST-725","ST-1268",666,137
"ST-725","ST-976",666,841
"ST-726","ST-728",667,669
"ST-727","ST-1546",668,230
"ST-728","ST-1150",669,78
"ST-729","ST-1152",670,1132
"ST-729","ST-753",670,692
"ST-729","ST-760",670,699
"ST-729","ST-923",670,811
"ST-729","ST-924",670,812
"ST-73","ST-1150",671,78
"ST-73","ST-1319",671,165
"ST-73","ST-1321",671,958
"ST-73","ST-1545",671,967
"ST-73","ST-202",671,290
"ST-73","ST-204",671,292
"ST-73","ST-205",671,293
"ST-73","ST-277",671,343
"ST-73","ST-278",671,344
"ST-73","ST-295",671,359
"ST-73","ST-296",671,360
"ST-73","ST-297",671,361
"ST-73","ST-305",671,370
"ST-73","ST-307",671,1075
"ST-73","ST-311",671,375
"ST-73","ST-414",671,441
"ST-73","ST-426",671,448
"ST-73","ST-520",671,515
"ST-73","ST-664",671,621
"ST-73","ST-683",671,632
"ST-73","ST-692",671,639
"ST-73","ST-748",671,687
"ST-73","ST-749",671,688
"ST-73","ST-750",671,689
"ST-73","ST-751",671,690
"ST-73","ST-776",671,714
"ST-73","ST-877",671,778
"ST-731","ST-760",672,699
"ST-731","ST-923",672,811
"ST-732","ST-753",673,692
"ST-732","ST-923",673,811
"ST-732","ST-949",673,827
"ST-733","ST-1268",674,137
"ST-733","ST-1546",674,230
"ST-735","ST-1118",675,61
"ST-735","ST-1123",675,1104
"ST-735","ST-1286",675,149
"ST-735","ST-1290",675,151
"ST-735","ST-1474",675,966
"ST-735","ST-866",675,1106
"ST-735","ST-913",675,805
"ST-735","ST-971",675,1133
"ST-736","ST-1121",676,63
"ST-736","ST-1124",676,64
"ST-736","ST-1128",676,1134
"ST-736","ST-1285",676,148
"ST-736","ST-1286",676,149
"ST-736","ST-1287",676,894
"ST-736","ST-1425",676,1105
"ST-736","ST-914",676,806
"ST-737","ST-1070",677,32
"ST-737","ST-1072",677,33
"ST-737","ST-1084",677,41
"ST-737","ST-1419",677,876
"ST-737","ST-1707",677,263
"ST-737","ST-1730",677,874
"ST-737","ST-740",677,679
"ST-737","ST-839",677,757
"ST-737","ST-891",677,789
"ST-737","ST-897",677,1135
"ST-737","ST-903",677,797
"ST-737","ST-904",677,798
"ST-737","ST-905",677,799
"ST-739","ST-1070",678,32
"ST-739","ST-1079",678,37
"ST-739","ST-1081",678,39
"ST-739","ST-1087",678,43
"ST-739","ST-1582",678,239
"ST-739","ST-1584",678,240
"ST-739","ST-1586",678,242
"ST-739","ST-1590",678,244
"ST-739","ST-1729",678,273
"ST-739","ST-1730",678,874
"ST-739","ST-839",678,757
"ST-739","ST-891",678,789
"ST-739","ST-892",678,790
"ST-740","ST-1078",679,36
"ST-740","ST-1089",679,875
"ST-741","ST-742",680,681
"ST-742","ST-1162",681,1136
"ST-742","ST-1552",681,1137
"ST-742","ST-743",681,682
"ST-742","ST-744",681,683
"ST-742","ST-772",681,711
"ST-742","ST-926",681,1138
"ST-743","ST-1552",682,1137
"ST-743","ST-744",682,683
"ST-743","ST-925",682,813
"ST-744","ST-1162",683,1136
"ST-744","ST-1552",683,1137
"ST-744","ST-772",683,711
"ST-744","ST-925",683,813
"ST-745","ST-1554",684,233
"ST-745","ST-750",684,689
"ST-746","ST-750",685,689
"ST-746","ST-765",685,704
"ST-746","ST-927",685,814
"ST-747","ST-1158",686,80
"ST-747","ST-1316",686,163
"ST-747","ST-1655",686,956
"ST-747","ST-749",686,688
"ST-747","ST-750",686,689
"ST-747","ST-751",686,690
"ST-747","ST-928",686,815
"ST-747","ST-949",686,827
"ST-748","ST-1316",687,163
"ST-748","ST-749",687,688
"ST-748","ST-750",687,689
"ST-748","ST-751",687,690
"ST-748","ST-760",687,699
"ST-748","ST-776",687,714
"ST-748","ST-927",687,814
"ST-748","ST-935",687,822
"ST-748","ST-949",687,827
"ST-749","ST-1169",688,89
"ST-749","ST-750",688,689
"ST-749","ST-751",688,690
"ST-749","ST-776",688,714
"ST-749","ST-777",688,715
"ST-749","ST-780",688,718
"ST-750","ST-1152",689,1132
"ST-750","ST-1158",689,80
"ST-750","ST-1160",689,82
"ST-750","ST-1161",689,83
"ST-750","ST-1163",689,84
"ST-750","ST-1169",689,89
"ST-750","ST-1305",689,159
"ST-750","ST-1316",689,163
"ST-750","ST-1344",689,1051
"ST-750","ST-1405",689,953
"ST-750","ST-1445",689,1139
"ST-750","ST-1554",689,233
"ST-750","ST-1555",689,910
"ST-750","ST-1655",689,956
"ST-750","ST-1705",689,880
"ST-750","ST-1739",689,954
"ST-750","ST-751",689,690
"ST-750","ST-752",689,691
"ST-750","ST-753",689,692
"ST-750","ST-757",689,695
"ST-750","ST-758",689,696
"ST-750","ST-760",689,699
"ST-750","ST-761",689,700
"ST-750","ST-765",689,704
"ST-750","ST-776",689,714
"ST-750","ST-777",689,715
"ST-750","ST-780",689,718
"ST-750","ST-787",689,721
"ST-750","ST-792",689,725
"ST-750","ST-923",689,811
"ST-750","ST-924",689,812
"ST-750","ST-927",689,814
"ST-750","ST-928",689,815
"ST-750","ST-935",689,822
"ST-750","ST-949",689,827
"ST-751","ST-1152",690,1132
"ST-751","ST-1163",690,84
"ST-751","ST-1316",690,163
"ST-751","ST-1655",690,956
"ST-751","ST-1739",690,954
"ST-751","ST-752",690,691
"ST-751","ST-753",690,692
"ST-751","ST-757",690,695
"ST-751","ST-758",690,696
"ST-751","ST-760",690,699
"ST-751","ST-776",690,714
"ST-751","ST-923",690,811
"ST-751","ST-928",690,815
"ST-751","ST-935",690,822
"ST-751","ST-949",690,827
"ST-752","ST-1655",691,956
"ST-752","ST-757",691,695
"ST-752","ST-760",691,699
"ST-752","ST-763",691,702
"ST-752","ST-935",691,822
"ST-753","ST-1152",692,1132
"ST-753","ST-1307",692,160
"ST-753","ST-1557",692,1140
"ST-753","ST-1739",692,954
"ST-753","ST-754",692,693
"ST-753","ST-755",692,694
"ST-753","ST-756",692,1141
"ST-753","ST-757",692,695
"ST-753","ST-758",692,696
"ST-753","ST-759",692,697
"ST-753","ST-760",692,699
"ST-753","ST-923",692,811
"ST-753","ST-935",692,822
"ST-753","ST-949",692,827
"ST-754","ST-1310",693,162
"ST-754","ST-1739",693,954
"ST-754","ST-760",693,699
"ST-755","ST-1307",694,160
"ST-757","ST-1158",695,80
"ST-757","ST-758",695,696
"ST-757","ST-759",695,697
"ST-757","ST-760",695,699
"ST-757","ST-935",695,822
"ST-757","ST-949",695,827
"ST-758","ST-1152",696,1132
"ST-758","ST-1163",696,84
"ST-758","ST-1655",696,956
"ST-758","ST-760",696,699
"ST-758","ST-924",696,812
"ST-758","ST-935",696,822
"ST-758","ST-949",696,827
"ST-759","ST-760",697,699
"ST-76","ST-83",698,751
"ST-76","ST-84",698,758
"ST-76","ST-86",698,769
"ST-760","ST-1152",699,1132
"ST-760","ST-1309",699,1142
"ST-760","ST-1655",699,956
"ST-760","ST-1739",699,954
"ST-760","ST-924",699,812
"ST-760","ST-935",699,822
"ST-760","ST-949",699,827
"ST-761","ST-1158",700,80
"ST-761","ST-1160",700,82
"ST-761","ST-1305",700,159
"ST-761","ST-1359",700,187
"ST-761","ST-1404",700,952
"ST-761","ST-1405",700,953
"ST-761","ST-1406",700,200
"ST-761","ST-1553",700,907
"ST-761","ST-1554",700,233
"ST-761","ST-1556",700,906
"ST-761","ST-1679",700,1143
"ST-761","ST-762",700,701
"ST-761","ST-764",700,703
"ST-761","ST-765",700,704
"ST-761","ST-767",700,705
"ST-761","ST-787",700,721
"ST-761","ST-810",700,738
"ST-761","ST-927",700,814
"ST-762","ST-1305",701,159
"ST-762","ST-1556",701,906
"ST-763","ST-1158",702,80
"ST-763","ST-1306",702,904
"ST-763","ST-764",702,703
"ST-764","ST-1158",703,80
"ST-764","ST-1164",703,85
"ST-764","ST-1305",703,159
"ST-764","ST-1306",703,904
"ST-765","ST-1160",704,82
"ST-765","ST-1404",704,952
"ST-767","ST-1165",705,86
"ST-767","ST-1166",705,87
"ST-767","ST-1168",705,88
"ST-767","ST-1406",705,200
"ST-767","ST-769",705,707
"ST-767","ST-770",705,709
"ST-767","ST-771",705,710
"ST-767","ST-772",705,711
"ST-767","ST-773",705,712
"ST-767","ST-781",705,719
"ST-767","ST-879",705,779
"ST-767","ST-890",705,788
"ST-768","ST-1165",706,86
"ST-768","ST-1166",706,87
"ST-768","ST-769",706,707
"ST-768","ST-770",706,709
"ST-768","ST-771",706,710
"ST-768","ST-772",706,711
"ST-768","ST-781",706,719
"ST-768","ST-879",706,779
"ST-768","ST-889",706,786
"ST-768","ST-890",706,788
"ST-769","ST-1165",707,86
"ST-769","ST-1166",707,87
"ST-769","ST-1168",707,88
"ST-769","ST-1360",707,188
"ST-769","ST-1361",707,189
"ST-769","ST-1654",707,909
"ST-769","ST-771",707,710
"ST-769","ST-772",707,711
"ST-769","ST-781",707,719
"ST-769","ST-816",707,742
"ST-769","ST-821",707,745
"ST-769","ST-879",707,779
"ST-769","ST-890",707,788
"ST-77","ST-84",708,758
"ST-77","ST-86",708,769
"ST-77","ST-90",708,796
"ST-77","ST-94",708,824
"ST-770","ST-1165",709,86
"ST-770","ST-1654",709,909
"ST-770","ST-772",709,711
"ST-770","ST-890",709,788
"ST-771","ST-1165",710,86
"ST-771","ST-1166",710,87
"ST-771","ST-1168",710,88
"ST-771","ST-1654",710,909
"ST-771","ST-772",710,711
"ST-771","ST-773",710,712
"ST-771","ST-774",710,1144
"ST-771","ST-881",710,780
"ST-771","ST-890",710,788
"ST-771","ST-929",710,816
"ST-772","ST-1162",711,1136
"ST-772","ST-1165",711,86
"ST-772","ST-1166",711,87
"ST-772","ST-1168",711,88
"ST-772","ST-1311",711,908
"ST-772","ST-1361",711,189
"ST-772","ST-1552",711,1137
"ST-772","ST-781",711,719
"ST-772","ST-821",711,745
"ST-772","ST-879",711,779
"ST-772","ST-880",711,1145
"ST-772","ST-881",711,780
"ST-772","ST-889",711,786
"ST-772","ST-890",711,788
"ST-772","ST-929",711,816
"ST-772","ST-958",711,832
"ST-773","ST-890",712,788
"ST-775","ST-1166",713,87
"ST-775","ST-1361",713,189
"ST-775","ST-890",713,788
"ST-776","ST-1169",714,89
"ST-776","ST-1171",714,1146
"ST-776","ST-1555",714,910
"ST-776","ST-1705",714,880
"ST-776","ST-777",714,715
"ST-776","ST-780",714,718
"ST-776","ST-787",714,721
"ST-777","ST-1170",715,1147
"ST-777","ST-1171",715,1146
"ST-777","ST-1555",715,910
"ST-777","ST-787",715,721
"ST-777","ST-788",715,722
"ST-777","ST-791",715,724
"ST-777","ST-792",715,725
"ST-777","ST-793",715,1148
"ST-779","ST-1186",716,97
"ST-78","ST-86",717,769
"ST-78","ST-95",717,828
"ST-780","ST-1169",718,89
"ST-780","ST-1555",718,910
"ST-780","ST-927",718,814
"ST-781","ST-1165",719,86
"ST-781","ST-1166",719,87
"ST-781","ST-1361",719,189
"ST-781","ST-879",719,779
"ST-781","ST-890",719,788
"ST-784","ST-799",720,728
"ST-787","ST-1171",721,1146
"ST-787","ST-1365",721,911
"ST-787","ST-1555",721,910
"ST-787","ST-1577",721,236
"ST-787","ST-788",721,722
"ST-788","ST-1171",722,1146
"ST-788","ST-1365",722,911
"ST-788","ST-1555",722,910
"ST-790","ST-791",723,724
"ST-791","ST-1173",724,1149
"ST-791","ST-1174",724,1150
"ST-791","ST-792",724,725
"ST-791","ST-793",724,1148
"ST-792","ST-793",725,1148
"ST-797","ST-1245",727,125
"ST-797","ST-1433",727,1152
"ST-797","ST-1575",727,936
"ST-797","ST-799",727,728
"ST-797","ST-811",727,739
"ST-797","ST-815",727,741
"ST-797","ST-955",727,831
"ST-799","ST-800",728,1095
"ST-799","ST-955",728,831
"ST-8","ST-10",729,1
"ST-8","ST-11",729,50
"ST-8","ST-15",729,219
"ST-8","ST-16",729,245
"ST-8","ST-18",729,279
"ST-8","ST-20",729,287
"ST-8","ST-208",729,294
"ST-8","ST-209",729,295
"ST-8","ST-211",729,997
"ST-8","ST-340",729,998
"ST-8","ST-342",729,393
"ST-8","ST-421",729,1029
"ST-8","ST-426",729,448
"ST-8","ST-73",729,671
"ST-80","ST-93",730,817
"ST-80","ST-95",730,828
"ST-801","ST-955",731,831
"ST-802","ST-955",732,831
"ST-803","ST-1181",733,94
"ST-803","ST-818",733,743
"ST-804","ST-1181",734,94
"ST-804","ST-807",734,736
"ST-805","ST-1178",735,1153
"ST-807","ST-1179",736,1154
"ST-808","ST-1179",737,1154
"ST-808","ST-1181",737,94
"ST-810","ST-1406",738,200
"ST-810","ST-1577",738,236
"ST-810","ST-816",738,742
"ST-810","ST-956",738,1155
"ST-811","ST-815",739,741
"ST-814","ST-815",740,741
"ST-815","ST-955",741,831
"ST-815","ST-966",741,1156
"ST-816","ST-1168",742,88
"ST-816","ST-1556",742,906
"ST-816","ST-1577",742,236
"ST-816","ST-1679",742,1143
"ST-818","ST-1566",743,1157
"ST-818","ST-1654",743,909
"ST-818","ST-820",743,1158
"ST-818","ST-821",743,745
"ST-82","ST-1397",744,1159
"ST-82","ST-1692",744,996
"ST-82","ST-208",744,294
"ST-82","ST-209",744,295
"ST-82","ST-211",744,997
"ST-82","ST-223",744,303
"ST-82","ST-342",744,393
"ST-82","ST-344",744,394
"ST-82","ST-350",744,398
"ST-82","ST-443",744,1160
"ST-82","ST-455",744,466
"ST-82","ST-462",744,472
"ST-82","ST-86",744,769
"ST-82","ST-87",744,773
"ST-82","ST-91",744,803
"ST-82","ST-96",744,1161
"ST-821","ST-1166",745,87
"ST-821","ST-1168",745,88
"ST-821","ST-1360",745,188
"ST-821","ST-1361",745,189
"ST-821","ST-1654",745,909
"ST-821","ST-958",745,832
"ST-823","ST-1574",746,1162
"ST-823","ST-1704",746,1163
"ST-824","ST-1062",747,25
"ST-824","ST-1515",747,1083
"ST-824","ST-1718",747,870
"ST-824","ST-975",747,840
"ST-825","ST-1424",748,927
"ST-827","ST-1197",749,103
"ST-827","ST-1198",749,922
"ST-827","ST-1200",749,106
"ST-827","ST-1201",749,107
"ST-827","ST-1202",749,108
"ST-827","ST-1215",749,113
"ST-827","ST-1317",749,164
"ST-827","ST-1347",749,180
"ST-827","ST-1440",749,968
"ST-827","ST-1454",749,212
"ST-827","ST-1455",749,926
"ST-827","ST-1631",749,1164
"ST-827","ST-1632",749,1058
"ST-827","ST-1636",749,957
"ST-827","ST-910",749,804
"ST-829","ST-1010",750,1088
"ST-83","ST-84",751,758
"ST-83","ST-86",751,769
"ST-83","ST-95",751,828
"ST-830","ST-1370",752,192
"ST-833","ST-1249",753,126
"ST-834","ST-1065",754,28
"ST-834","ST-1249",754,126
"ST-834","ST-1251",754,129
"ST-834","ST-1351",754,182
"ST-834","ST-1510",754,222
"ST-834","ST-1519",754,871
"ST-834","ST-835",754,755
"ST-835","ST-1065",755,28
"ST-838","ST-1070",756,32
"ST-838","ST-1084",756,41
"ST-838","ST-1419",756,876
"ST-838","ST-1706",756,873
"ST-838","ST-1707",756,263
"ST-838","ST-839",756,757
"ST-838","ST-891",756,789
"ST-838","ST-892",756,790
"ST-838","ST-903",756,797
"ST-838","ST-904",756,798
"ST-838","ST-905",756,799
"ST-839","ST-1070",757,32
"ST-839","ST-1079",757,37
"ST-839","ST-1081",757,39
"ST-839","ST-1584",757,240
"ST-839","ST-1586",757,242
"ST-839","ST-1706",757,873
"ST-839","ST-1707",757,263
"ST-839","ST-1730",757,874
"ST-839","ST-891",757,789
"ST-839","ST-892",757,790
"ST-839","ST-904",757,798
"ST-839","ST-905",757,799
"ST-84","ST-110",758,1165
"ST-84","ST-93",758,817
"ST-84","ST-95",758,828
"ST-840","ST-1705",759,880
"ST-842","ST-1200",760,106
"ST-842","ST-1201",760,107
"ST-842","ST-1347",760,180
"ST-842","ST-1424",760,927
"ST-847","ST-1346",761,1098
"ST-847","ST-857",761,768
"ST-849","ST-1098",762,48
"ST-85","ST-344",763,394
"ST-85","ST-87",763,773
"ST-853","ST-855",765,766
"ST-853","ST-856",765,767
"ST-855","ST-857",766,768
"ST-856","ST-1333",767,1100
"ST-857","ST-1099",768,49
"ST-857","ST-1346",768,1098
"ST-86","ST-110",769,1165
"ST-86","ST-460",769,470
"ST-86","ST-91",769,803
"ST-86","ST-93",769,817
"ST-86","ST-94",769,824
